Function / Call Stack,Effective Time,Spin Time,Overhead Time,Module,Function (Full),Source File,Start Address
GENERALUTILITIES_mp_SHELLSORT,103.294,0,0,Simulation2015_x64.exe,GENERALUTILITIES_mp_SHELLSORT,GeneralUtilities.f90,0x14090cc40
_libm_log_l9,71.1889,0,0,Simulation2015_x64.exe,_libm_log_l9,[Unknown],0x1400b4620
UNSATZONEOPS_mp_MIXEDITERMETHOD,57.358,0,0,Simulation2015_x64.exe,UNSATZONEOPS_mp_MIXEDITERMETHOD,UnsatZoneOps.f90,0x1404e48b0
_libm_exp_l9,54.8948,0,0,Simulation2015_x64.exe,_libm_exp_l9,[Unknown],0x1400b4ec0
PACKAGE_MATRIX_mp_UPDATECOEFF,39.125,0,0,Simulation2015_x64.exe,PACKAGE_MATRIX_mp_UPDATECOEFF,Package_Matrix.f90,0x140443060
CLASS_NONPONDEDAGLANDUSEGW_mp_NONPONDEDAGLANDUSE_SIMULATE,34.5447,0,0,Simulation2015_x64.exe,CLASS_NONPONDEDAGLANDUSEGW_mp_NONPONDEDAGLANDUSE_SIMULATE,Class_NonPondedAgLandUseGW.f90,0x140565750
UNSATZONEOPS_mp_KUNSAT,20.8754,0,0,Simulation2015_x64.exe,UNSATZONEOPS_mp_KUNSAT,UnsatZoneOps.f90,0x1404e4f70
ROOTZONE_V41_mp_ROOTZONE_V41_SIMULATE,20.4954,0,0,Simulation2015_x64.exe,ROOTZONE_V41_mp_ROOTZONE_V41_SIMULATE,RootZone_v41.f90,0x140561450
CLASS_APPGW_mp_APPLYHORIZONTALFLOWS,19.1242,0,0,Simulation2015_x64.exe,CLASS_APPGW_mp_APPLYHORIZONTALFLOWS,Class_AppGW.f90,0x140907070
PACKAGE_MATRIX_mp_PGMRES,18.2638,0,0,Simulation2015_x64.exe,PACKAGE_MATRIX_mp_PGMRES,Package_Matrix.f90,0x1408fe600
ILUT,16.2675,0,0,Simulation2015_x64.exe,ILUT,pgmres.f,0x140902930
ROOTZONE_V41_mp_ROOTZONE_V41_GETPERCALL,12.9266,0,0,Simulation2015_x64.exe,ROOTZONE_V41_mp_ROOTZONE_V41_GETPERCALL,RootZone_v41.f90,0x14052c680
ROOTZONE_V41_mp_ROOTZONE_V41_GETFLOWSTOSTREAMS,11.6657,0,0,Simulation2015_x64.exe,ROOTZONE_V41_mp_ROOTZONE_V41_GETFLOWSTOSTREAMS,RootZone_v41.f90,0x14052d8d0
ROOTZONE_V41_mp_COMPUTEUPSTRMELEMRUNOFFTOLANDUSE,9.47276,0,0,Simulation2015_x64.exe,ROOTZONE_V41_mp_COMPUTEUPSTRMELEMRUNOFFTOLANDUSE,RootZone_v41.f90,0x14056a210
_intel_avx_rep_memset,9.33829,0,0,Simulation2015_x64.exe,_intel_avx_rep_memset,[Unknown],0x1400c0100
CLASS_PONDEDAGLANDUSEGW_mp_PONDEDAGLANDUSE_SIMULATE,9.10142,0,0,Simulation2015_x64.exe,CLASS_PONDEDAGLANDUSEGW_mp_PONDEDAGLANDUSE_SIMULATE,Class_PondedAgLandUseGW.f90,0x140566d30
UNSATZONEOPS_mp_DKUNSAT,8.75839,0,0,Simulation2015_x64.exe,UNSATZONEOPS_mp_DKUNSAT,UnsatZoneOps.f90,0x1404e5190
CLASS_BASEROOTZONE_mp_TRACKMOISTUREDUETOSOURCE,7.05235,0,0,Simulation2015_x64.exe,CLASS_BASEROOTZONE_mp_TRACKMOISTUREDUETOSOURCE,Class_BaseRootZone.f90,0x1404e5490
