"Function / Call Stack","Effective Time","Spin Time","Overhead Time","Module","Function (Full)","Source File","Start Address"
"GENERALUTILITIES_mp_SHELLSORT","2298","0","0","Simulation2015_x64.exe","GENERALUTILITIES_mp_SHELLSORT","GeneralUtilities.f90","0x14090cc40"
"CLASS_APPGW_mp_APPLYHORIZONTALFLOWS","1036.78","0","0","Simulation2015_x64.exe","CLASS_APPGW_mp_APPLYHORIZONTALFLOWS","Class_AppGW.f90","0x140907070"
"PACKAGE_MATRIX_mp_UPDATECOEFF","1000.89","0","0","Simulation2015_x64.exe","PACKAGE_MATRIX_mp_UPDATECOEFF","Package_Matrix.f90","0x140443060"
"ILUT","864.098","0","0","Simulation2015_x64.exe","ILUT","pgmres.f","0x140902930"
"CLASS_NONPONDEDAGLANDUSE_mp_NONPONDEDAGLANDUSE_SIMULATE","693.498","0","0","Simulation2015_x64.exe","CLASS_NONPONDEDAGLANDUSE_mp_NONPONDEDAGLANDUSE_SIMULATE","Class_NonPondedAgLandUse.f90","0x1404d9ce0"
"ROOTZONE_V40_mp_ROOTZONE_V40_SIMULATE","548.226","0","0","Simulation2015_x64.exe","ROOTZONE_V40_mp_ROOTZONE_V40_SIMULATE","RootZone_v40.f90","0x1404d5a10"
"CLASS_PONDEDAGLANDUSE_mp_PONDEDAGLANDUSE_SIMULATE","479.978","0","0","Simulation2015_x64.exe","CLASS_PONDEDAGLANDUSE_mp_PONDEDAGLANDUSE_SIMULATE","Class_PondedAgLandUse.f90","0x1404db280"
"ROOTZONE_V40_mp_ROOTZONE_V40_GETPERCALL","411.532","0","0","Simulation2015_x64.exe","ROOTZONE_V40_mp_ROOTZONE_V40_GETPERCALL","RootZone_v40.f90","0x1404a0020"
"_libm_log_l9","405.524","0","0","Simulation2015_x64.exe","_libm_log_l9","[Unknown]","0x1400b4620"
"CLASS_NONPONDEDAGLANDUSE_mp_WRITEROOTZONEFLOWSTOBUDRAWFILE","392.018","0","0","Simulation2015_x64.exe","CLASS_NONPONDEDAGLANDUSE_mp_WRITEROOTZONEFLOWSTOBUDRAWFILE","Class_NonPondedAgLandUse.f90","0x1406b9300"
"CLASS_APPGW_mp_SIMULATE","356.531","0","0","Simulation2015_x64.exe","CLASS_APPGW_mp_SIMULATE","Class_AppGW.f90","0x1409039e0"
"_intel_avx_rep_memset","322.346","0","0","Simulation2015_x64.exe","_intel_avx_rep_memset","[Unknown]","0x1400c0100"
"ROOTZONE_V40_mp_ROOTZONE_V40_GETFLOWSTOSTREAMS","321.189","0","0","Simulation2015_x64.exe","ROOTZONE_V40_mp_ROOTZONE_V40_GETFLOWSTOSTREAMS","RootZone_v40.f90","0x1404a1300"
"ROOTZONE_V40_mp_COMPUTEUPSTRMELEMRUNOFFTOLANDUSE","312.011","0","0","Simulation2015_x64.exe","ROOTZONE_V40_mp_COMPUTEUPSTRMELEMRUNOFFTOLANDUSE","RootZone_v40.f90","0x1404de480"
"PACKAGE_MATRIX_mp_PGMRES","311.843","0","0","Simulation2015_x64.exe","PACKAGE_MATRIX_mp_PGMRES","Package_Matrix.f90","0x1408fe600"
"CLASS_GWZBUDGET_mp_PRINTRESULTS","310.701","0","0","Simulation2015_x64.exe","CLASS_GWZBUDGET_mp_PRINTRESULTS","Class_GWZBudget.f90","0x1408a68f0"
"UNSATZONEOPS_mp_MIXEDITERMETHOD","290.46","0","0","Simulation2015_x64.exe","UNSATZONEOPS_mp_MIXEDITERMETHOD","UnsatZoneOps.f90","0x1404e48b0"
"CLASS_NONPONDEDAGLANDUSE_mp_WRITELWUSEFLOWSTOBUDRAWFILE","281.984","0","0","Simulation2015_x64.exe","CLASS_NONPONDEDAGLANDUSE_mp_WRITELWUSEFLOWSTOBUDRAWFILE","Class_NonPondedAgLandUse.f90","0x1406b6ca0"
"_libm_exp_l9","274.6","0","0","Simulation2015_x64.exe","_libm_exp_l9","[Unknown]","0x1400b4ec0"
"PACKAGE_MATRIX_mp_CONVERTTOCRSFORMAT","239.596","0","0","Simulation2015_x64.exe","PACKAGE_MATRIX_mp_CONVERTTOCRSFORMAT","Package_Matrix.f90","0x1408fe0b0"
"PACKAGE_MATRIX_mp_LOCALNODE_TO_GLOBALNODE_SCALAR","225.256","0","0","Simulation2015_x64.exe","PACKAGE_MATRIX_mp_LOCALNODE_TO_GLOBALNODE_SCALAR","Package_Matrix.f90","0x1405d2ab0"
"ROOTZONE_V40_mp_ROOTZONE_V40_ADVANCESTATE","199.889","0","0","Simulation2015_x64.exe","ROOTZONE_V40_mp_ROOTZONE_V40_ADVANCESTATE","RootZone_v40.f90","0x1404e6510"
"RtlFreeHeap","199.051","0.0191993","0","ntdll.dll","RtlFreeHeap","[Unknown]","0x180026690"
"CLASS_GWZBUDGET_mp_COMPUTEFACEFLOWATNODE","155.949","0","0","Simulation2015_x64.exe","CLASS_GWZBUDGET_mp_COMPUTEFACEFLOWATNODE","Class_GWZBudget.f90","0x1408b3bc0"
"CLASS_NONPONDEDAGLANDUSE_mp_NONPONDEDAGLANDUSE_PRINTRESULTS","141.275","0","0","Simulation2015_x64.exe","CLASS_NONPONDEDAGLANDUSE_mp_NONPONDEDAGLANDUSE_PRINTRESULTS","Class_NonPondedAgLandUse.f90","0x1406b4c80"
"UNSATZONEOPS_mp_KUNSAT","123.311","0","0","Simulation2015_x64.exe","UNSATZONEOPS_mp_KUNSAT","UnsatZoneOps.f90","0x1404e4f70"
"CLASS_PUMPING_mp_DISTRIBUTEPUMPTONODES","106.66","0","0","Simulation2015_x64.exe","CLASS_PUMPING_mp_DISTRIBUTEPUMPTONODES","Class_Pumping.f90","0x14062c730"
"memcpy","95.7736","0","0","Simulation2015_x64.exe","memcpy","memcpy.asm","0x140943320"
"CLASS_NONPONDEDAGLANDUSE_mp_NONPONDEDAGLANDUSE_COMPUTEWATERDEMAND","85.108","0","0","Simulation2015_x64.exe","CLASS_NONPONDEDAGLANDUSE_mp_NONPONDEDAGLANDUSE_COMPUTEWATERDEMAND","Class_NonPondedAgLandUse.f90","0x1404cd1a0"
"CLASS_PONDEDAGLANDUSE_mp_WRITEROOTZONEFLOWSTOBUDRAWFILE","81.7075","0","0","Simulation2015_x64.exe","CLASS_PONDEDAGLANDUSE_mp_WRITEROOTZONEFLOWSTOBUDRAWFILE","Class_PondedAgLandUse.f90","0x1406c2100"
"CLASS_APPGW_mp_APPLYVERTICALFLOWS","80.0794","0","0","Simulation2015_x64.exe","CLASS_APPGW_mp_APPLYVERTICALFLOWS","Class_AppGW.f90","0x14090ae20"
"GMRES","76.2181","0","0","Simulation2015_x64.exe","GMRES","pgmres.f","0x140900670"
"CLASS_NATIVERIPARIANLANDUSE_mp_NATIVERIPARIANLANDUSE_SIMULATE","72.2893","0","0","Simulation2015_x64.exe","CLASS_NATIVERIPARIANLANDUSE_mp_NATIVERIPARIANLANDUSE_SIMULATE","Class_NativeRiparianLandUse.f90","0x1404e1d80"
"CLASS_BASEROOTZONE_mp_TRACKMOISTUREDUETOSOURCE","72.2736","0","0","Simulation2015_x64.exe","CLASS_BASEROOTZONE_mp_TRACKMOISTUREDUETOSOURCE","Class_BaseRootZone.f90","0x1404e5490"
"CLASS_APPGW_mp_GETPUMPINGATELEMENTLAYERNODE","68.0336","0","0","Simulation2015_x64.exe","CLASS_APPGW_mp_GETPUMPINGATELEMENTLAYERNODE","Class_AppGW.f90","0x1408b0330"
"CLASS_URBANLANDUSE_mp_URBANLANDUSE_SIMULATE","63.4895","0","0","Simulation2015_x64.exe","CLASS_URBANLANDUSE_mp_URBANLANDUSE_SIMULATE","Class_UrbanLandUse.f90","0x1404dff60"
"ROOTZONE_V40_mp_ROOTZONE_V40_GETELEMENTWATERDEMAND_AG","63.059","0","0","Simulation2015_x64.exe","ROOTZONE_V40_mp_ROOTZONE_V40_GETELEMENTWATERDEMAND_AG","RootZone_v40.f90","0x140499ae0"
"CLASS_APPGW_mp_APPLYCHANGEINSTORAGE","58.7931","0","0","Simulation2015_x64.exe","CLASS_APPGW_mp_APPLYCHANGEINSTORAGE","Class_AppGW.f90","0x140907e40"
"ROOTZONE_V40_mp_COMPUTEDEMANDSUPPLYRELATEDFRACS","56.3145","0","0","Simulation2015_x64.exe","ROOTZONE_V40_mp_COMPUTEDEMANDSUPPLYRELATEDFRACS","RootZone_v40.f90","0x1404d0910"
"CLASS_APPGW_mp_GETSUPPLY","52.9687","0","0","Simulation2015_x64.exe","CLASS_APPGW_mp_GETSUPPLY","Class_AppGW.f90","0x140912d10"
"ROOTZONE_V40_mp_ZEROREDISTRIBUTEDMOIST","49.7327","0","0","Simulation2015_x64.exe","ROOTZONE_V40_mp_ZEROREDISTRIBUTEDMOIST","RootZone_v40.f90","0x1404b9760"
"CLASS_BASEROOTZONE_mp_COMPUTEREGIONALETPOT_MULTIPLELUPERELEM","47.2561","0","0","Simulation2015_x64.exe","CLASS_BASEROOTZONE_mp_COMPUTEREGIONALETPOT_MULTIPLELUPERELEM","Class_BaseRootZone.f90","0x1404b0c40"
"func@0x180028840","46.9905","0.0879352","0","ntdll.dll","func@0x180028840","[Unknown]","0x180028840"
"ROOTZONE_V40_mp_REGIONALDEMAND","46.7437","0","0","Simulation2015_x64.exe","ROOTZONE_V40_mp_REGIONALDEMAND","RootZone_v40.f90","0x1404d4bb0"
"UNSATZONEOPS_mp_DKUNSAT","43.2478","0","0","Simulation2015_x64.exe","UNSATZONEOPS_mp_DKUNSAT","UnsatZoneOps.f90","0x1404e5190"
"DISTDOT","42.0385","0","0","Simulation2015_x64.exe","DISTDOT","pgmres.f","0x1403e1910"
"ROOTZONE_V40_mp_REGIONALMOISTSTORAGE","41.856","0","0","Simulation2015_x64.exe","ROOTZONE_V40_mp_REGIONALMOISTSTORAGE","RootZone_v40.f90","0x1404c5cd0"
"_chkstk","41.076","0","0","Simulation2015_x64.exe","_chkstk","chkstk.asm","0x1409432c0"
"CLASS_STRATIGRAPHY_mp_GETACTIVELAYERBELOW","40.4939","0","0","Simulation2015_x64.exe","CLASS_STRATIGRAPHY_mp_GETACTIVELAYERBELOW","Class_Stratigraphy.f90","0x1404104d0"
"ROOTZONE_V40_mp_REGIONALREUSE","40.0353","0","0","Simulation2015_x64.exe","ROOTZONE_V40_mp_REGIONALREUSE","RootZone_v40.f90","0x1406ac120"
"PACKAGE_MODEL_mp_CONVERGENCE","35.3592","0","0","Simulation2015_x64.exe","PACKAGE_MODEL_mp_CONVERGENCE","Package_Model.f90","0x1408f69c0"
"CLASS_APPGW_mp_COMPUTEREGIONALSTORAGE","34.7165","0","0","Simulation2015_x64.exe","CLASS_APPGW_mp_COMPUTEREGIONALSTORAGE","Class_AppGW.f90","0x140325ca0"
"ROOTZONE_V40_mp_REGIONALINFILTRATION","34.3854","0","0","Simulation2015_x64.exe","ROOTZONE_V40_mp_REGIONALINFILTRATION","RootZone_v40.f90","0x1406afee0"
"CLASS_APPGRID_mp_ELEMDATA_TO_NODEDATA","30.6704","0","0","Simulation2015_x64.exe","CLASS_APPGRID_mp_ELEMDATA_TO_NODEDATA","Class_AppGrid.f90","0x140905fd0"
"H5SL_search","30.4317","0","0","Simulation2015_x64.exe","H5SL_search","[Unknown]","0x1401a3050"
"_intel_avx_rep_memcpy","30.1986","0","0","Simulation2015_x64.exe","_intel_avx_rep_memcpy","[Unknown]","0x1400bc300"
"CLASS_PONDEDAGLANDUSE_mp_WRITELWUSEFLOWSTOBUDRAWFILE","29.9597","0","0","Simulation2015_x64.exe","CLASS_PONDEDAGLANDUSE_mp_WRITELWUSEFLOWSTOBUDRAWFILE","Class_PondedAgLandUse.f90","0x1406bfa40"
"VERTICALFLOW_mp_VERTICALFLOW_COMPUTEATNODESLAYER","28.8271","0","0","Simulation2015_x64.exe","VERTICALFLOW_mp_VERTICALFLOW_COMPUTEATNODESLAYER","VerticalFlow.f90","0x1408b9730"
"CLASS_BASESTRMGWCONNECTOR_mp_BASESTRMGWCONNECTOR_GETFLOWATGWNODE","27.7523","0","0","Simulation2015_x64.exe","CLASS_BASESTRMGWCONNECTOR_mp_BASESTRMGWCONNECTOR_GETFLOWATGWNODE","Class_BaseStrmGWConnector.f90","0x140418ed0"
"ROOTZONE_V40_mp_REGIONALPRECIP","27.5951","0","0","Simulation2015_x64.exe","ROOTZONE_V40_mp_REGIONALPRECIP","RootZone_v40.f90","0x1406b3850"
"ROOTZONE_V40_mp_REGIONALPERC","27.5302","0","0","Simulation2015_x64.exe","ROOTZONE_V40_mp_REGIONALPERC","RootZone_v40.f90","0x1406ada40"
"ROOTZONE_V40_mp_REGIONALRUNOFF","25.9887","0","0","Simulation2015_x64.exe","ROOTZONE_V40_mp_REGIONALRUNOFF","RootZone_v40.f90","0x1406b2170"
"CLASS_NONPONDEDAGLANDUSE_mp_NONPONDEDAGLANDUSE_READTSDATA","25.8054","0","0","Simulation2015_x64.exe","CLASS_NONPONDEDAGLANDUSE_mp_NONPONDEDAGLANDUSE_READTSDATA","Class_NonPondedAgLandUse.f90","0x1404b1e90"
"ROOTZONE_V40_mp_REGIONALRETURN","25.489","0","0","Simulation2015_x64.exe","ROOTZONE_V40_mp_REGIONALRETURN","RootZone_v40.f90","0x1406aabc0"
"ROOTZONE_V40_mp_REGIONALETA","25.4354","0","0","Simulation2015_x64.exe","ROOTZONE_V40_mp_REGIONALETA","RootZone_v40.f90","0x1406aee30"
"ROOTZONE_V40_mp_REGIONALSOILMCHANGE","24.8597","0","0","Simulation2015_x64.exe","ROOTZONE_V40_mp_REGIONALSOILMCHANGE","RootZone_v40.f90","0x1406b10c0"
"ROOTZONE_V40_mp_REGIONALETOTH","24.3196","0","0","Simulation2015_x64.exe","ROOTZONE_V40_mp_REGIONALETOTH","RootZone_v40.f90","0x14069fac0"
"ROOTZONE_V40_mp_REGIONALAGRAWDEMAND","23.9403","0","0","Simulation2015_x64.exe","ROOTZONE_V40_mp_REGIONALAGRAWDEMAND","RootZone_v40.f90","0x14069ece0"
"CLASS_APPGW_mp_GETPUMPACTUAL","23.3486","0","0","Simulation2015_x64.exe","CLASS_APPGW_mp_GETPUMPACTUAL","Class_AppGW.f90","0x1408fb340"
"exp","22.5503","0","0","Simulation2015_x64.exe","exp","[Unknown]","0x1400b1020"
"log","22.5341","0","0","Simulation2015_x64.exe","log","[Unknown]","0x1400b1000"
"ROOTZONE_V40_mp_REGIONALLUAREA","21.571","0","0","Simulation2015_x64.exe","ROOTZONE_V40_mp_REGIONALLUAREA","RootZone_v40.f90","0x14069bc40"
"ROOTZONE_V40_mp_REGIONALETP","21.2264","0","0","Simulation2015_x64.exe","ROOTZONE_V40_mp_REGIONALETP","RootZone_v40.f90","0x1406a08a0"
"ROOTZONE_V40_mp_ROOTZONE_V40_PRINTRESULTS","19.5919","0","0","Simulation2015_x64.exe","ROOTZONE_V40_mp_ROOTZONE_V40_PRINTRESULTS","RootZone_v40.f90","0x140696400"
"CLASS_BASEAPPSTREAM_mp_GETSUPPLY","19.3745","0","0","Simulation2015_x64.exe","CLASS_BASEAPPSTREAM_mp_GETSUPPLY","Class_BaseAppStream.f90","0x140590440"
"_libm_exp_e7","19.068","0","0","Simulation2015_x64.exe","_libm_exp_e7","[Unknown]","0x1400b4bb0"
"ROOTZONE_V40_mp_REGIONALETAW","18.0819","0","0","Simulation2015_x64.exe","ROOTZONE_V40_mp_REGIONALETAW","RootZone_v40.f90","0x1406a1680"
"CLASS_PONDEDAGLANDUSE_mp_PONDEDAGLANDUSE_PRINTRESULTS","18.0732","0","0","Simulation2015_x64.exe","CLASS_PONDEDAGLANDUSE_mp_PONDEDAGLANDUSE_PRINTRESULTS","Class_PondedAgLandUse.f90","0x1406bdeb0"
