Function / Call Stack,CPU Time,Module,Function (Full),Source File,Start Address
GENERALUTILITIES_mp_SHELLSORT,77.8909,Simulation2015_x64.exe,GENERALUTILITIES_mp_SHELLSORT,GeneralUtilities.f90,0x14090cc40
ILUT,60.4972,Simulation2015_x64.exe,ILUT,pgmres.f,0x140902930
_libm_log_l9,48.3333,Simulation2015_x64.exe,_libm_log_l9,[Unknown],0x1400b4620
UNSATZONEOPS_mp_MIXEDITERMETHOD,41.5756,Simulation2015_x64.exe,UNSATZONEOPS_mp_MIXEDITERMETHOD,UnsatZoneOps.f90,0x1404e48b0
_libm_exp_l9,39.13,Simulation2015_x64.exe,_libm_exp_l9,[Unknown],0x1400b4ec0
PACKAGE_MATRIX_mp_UPDATECOEFF,30.4688,Simulation2015_x64.exe,PACKAGE_MATRIX_mp_UPDATECOEFF,Package_Matrix.f90,0x140443060
PACKAGE_MATRIX_mp_PGMRES,26.4665,Simulation2015_x64.exe,PACKAGE_MATRIX_mp_PGMRES,Package_Matrix.f90,0x1408fe600
CLASS_NONPONDEDAGLANDUSEGW_mp_NONPONDEDAGLANDUSE_SIMULATE,24.1982,Simulation2015_x64.exe,CLASS_NONPONDEDAGLANDUSEGW_mp_NONPONDEDAGLANDUSE_SIMULATE,Class_NonPondedAgLandUseGW.f90,0x140565750
CLASS_APPGW_mp_APPLYHORIZONTALFLOWS,19.7825,Simulation2015_x64.exe,CLASS_APPGW_mp_APPLYHORIZONTALFLOWS,Class_AppGW.f90,0x140907070
CLASS_PONDEDAGLANDUSEGW_mp_PONDEDAGLANDUSE_SIMULATE,15.4391,Simulation2015_x64.exe,CLASS_PONDEDAGLANDUSEGW_mp_PONDEDAGLANDUSE_SIMULATE,Class_PondedAgLandUseGW.f90,0x140566d30
ROOTZONE_V41_mp_ROOTZONE_V41_SIMULATE,15.2386,Simulation2015_x64.exe,ROOTZONE_V41_mp_ROOTZONE_V41_SIMULATE,RootZone_v41.f90,0x140561450
UNSATZONEOPS_mp_KUNSAT,15.1492,Simulation2015_x64.exe,UNSATZONEOPS_mp_KUNSAT,UnsatZoneOps.f90,0x1404e4f70
for_backspace,14.0376,Simulation2015_x64.exe,for_backspace,[Unknown],0x140052090
CLASS_STRMGWCONNECTOR_V42_mp_STRMGWCONNECTOR_V42_GETFLOWATGWNODE,13.1813,Simulation2015_x64.exe,CLASS_STRMGWCONNECTOR_V42_mp_STRMGWCONNECTOR_V42_GETFLOWATGWNODE,Class_StrmGWConnector_v42.f90,0x140421570
PACKAGE_APPSMALLWATERSHED_mp_GETNETBCFLOWWITHBCTYPE,12.5085,Simulation2015_x64.exe,PACKAGE_APPSMALLWATERSHED_mp_GETNETBCFLOWWITHBCTYPE,Package_AppSmallWatershed.f90,0x140449eb0
RtlFreeHeap,9.68915,ntdll.dll,RtlFreeHeap,[Unknown],0x180026690
ROOTZONE_V41_mp_ROOTZONE_V41_GETPERCALL,8.59251,Simulation2015_x64.exe,ROOTZONE_V41_mp_ROOTZONE_V41_GETPERCALL,RootZone_v41.f90,0x14052c680
CLASS_GWZBUDGET_mp_PRINTRESULTS,8.45639,Simulation2015_x64.exe,CLASS_GWZBUDGET_mp_PRINTRESULTS,Class_GWZBudget.f90,0x1408a68f0
GMRES,8.33771,Simulation2015_x64.exe,GMRES,pgmres.f,0x140900670
_intel_avx_rep_memset,7.90964,Simulation2015_x64.exe,_intel_avx_rep_memset,[Unknown],0x1400c0100
ROOTZONE_V41_mp_ROOTZONE_V41_GETFLOWSTOSTREAMS,7.36544,Simulation2015_x64.exe,ROOTZONE_V41_mp_ROOTZONE_V41_GETFLOWSTOSTREAMS,RootZone_v41.f90,0x14052d8d0
CLASS_APPGW_mp_SIMULATE,7.23819,Simulation2015_x64.exe,CLASS_APPGW_mp_SIMULATE,Class_AppGW.f90,0x1409039e0
ROOTZONE_V41_mp_COMPUTEUPSTRMELEMRUNOFFTOLANDUSE,6.87135,Simulation2015_x64.exe,ROOTZONE_V41_mp_COMPUTEUPSTRMELEMRUNOFFTOLANDUSE,RootZone_v41.f90,0x14056a210
UNSATZONEOPS_mp_DKUNSAT,6.32489,Simulation2015_x64.exe,UNSATZONEOPS_mp_DKUNSAT,UnsatZoneOps.f90,0x1404e5190
PACKAGE_MATRIX_mp_CONVERTTOCRSFORMAT,6.27385,Simulation2015_x64.exe,PACKAGE_MATRIX_mp_CONVERTTOCRSFORMAT,Package_Matrix.f90,0x1408fe0b0
memcpy,4.54153,Simulation2015_x64.exe,memcpy,memcpy.asm,0x140943320
PACKAGE_MATRIX_mp_LOCALNODE_TO_GLOBALNODE_SCALAR,4.18363,Simulation2015_x64.exe,PACKAGE_MATRIX_mp_LOCALNODE_TO_GLOBALNODE_SCALAR,Package_Matrix.f90,0x1405d2ab0
CLASS_BASEROOTZONE_mp_TRACKMOISTUREDUETOSOURCE,4.17819,Simulation2015_x64.exe,CLASS_BASEROOTZONE_mp_TRACKMOISTUREDUETOSOURCE,Class_BaseRootZone.f90,0x1404e5490
CLASS_APPSUBSIDENCE_mp_SIMULATE,3.66323,Simulation2015_x64.exe,CLASS_APPSUBSIDENCE_mp_SIMULATE,Class_AppSubsidence.f90,0x14090a740
PROCESSFLOWTYPES_ip_ADDFLOWTYPETOELEMENTS_BYNODE,3.18684,Simulation2015_x64.exe,PROCESSFLOWTYPES_ip_ADDFLOWTYPETOELEMENTS_BYNODE,Class_GWZBudget.f90,0x14035c000
CLASS_NATIVERIPARIANLANDUSEGW_mp_NATIVERIPARIANLANDUSE_SIMULATE,3.07071,Simulation2015_x64.exe,CLASS_NATIVERIPARIANLANDUSEGW_mp_NATIVERIPARIANLANDUSE_SIMULATE,Class_NativeRiparianLandUseGW.f90,0x14056dc10
exp,3.0187,Simulation2015_x64.exe,exp,[Unknown],0x1400b1020
log,2.97452,Simulation2015_x64.exe,log,[Unknown],0x1400b1000
CLASS_URBANLANDUSEGW_mp_URBANLANDUSE_SIMULATE,2.8857,Simulation2015_x64.exe,CLASS_URBANLANDUSEGW_mp_URBANLANDUSE_SIMULATE,Class_UrbanLandUseGW.f90,0x14056bc10
