"Function / Call Stack","CPU Time","Module","Function (Full)","Source File","Start Address"
"_libm_log_l9","58.0272","Simulation2015_x64.exe","_libm_log_l9","[Unknown]","0x1400b4620"
"UNSATZONEOPS_mp_MIXEDITERMETHOD","42.4297","Simulation2015_x64.exe","UNSATZONEOPS_mp_MIXEDITERMETHOD","UnsatZoneOps.f90","0x140504b60"
"_libm_exp_l9","38.7112","Simulation2015_x64.exe","_libm_exp_l9","[Unknown]","0x1400b4ec0"
"PACKAGE_MATRIX_mp_UPDATECOEFF","31.2591","Simulation2015_x64.exe","PACKAGE_MATRIX_mp_UPDATECOEFF","Package_Matrix.f90","0x14043c230"
"CLASS_NONPONDEDAGLANDUSEGW_mp_NONPONDEDAGLANDUSE_SIMULATE","28.6403","Simulation2015_x64.exe","CLASS_NONPONDEDAGLANDUSEGW_mp_NONPONDEDAGLANDUSE_SIMULATE","Class_NonPondedAgLandUseGW.f90","0x1404f97a0"
"CLASS_APPGW_mp_APPLYHORIZONTALFLOWS","15.7235","Simulation2015_x64.exe","CLASS_APPGW_mp_APPLYHORIZONTALFLOWS","Class_AppGW.f90","0x1409082a0"
"ROOTZONE_V41_mp_ROOTZONE_V41_SIMULATE","15.7153","Simulation2015_x64.exe","ROOTZONE_V41_mp_ROOTZONE_V41_SIMULATE","RootZone_v41.f90","0x1404f54a0"
"UNSATZONEOPS_mp_KUNSAT","15.3082","Simulation2015_x64.exe","UNSATZONEOPS_mp_KUNSAT","UnsatZoneOps.f90","0x140505220"
"PACKAGE_MATRIX_mp_PGMRES","14.9443","Simulation2015_x64.exe","PACKAGE_MATRIX_mp_PGMRES","Package_Matrix.f90","0x1408ff870"
"ILUT","13.9525","Simulation2015_x64.exe","ILUT","pgmres.f","0x140903ba0"
"ROOTZONE_V41_mp_ROOTZONE_V41_GETFLOWSTOSTREAMS","11.3057","Simulation2015_x64.exe","ROOTZONE_V41_mp_ROOTZONE_V41_GETFLOWSTOSTREAMS","RootZone_v41.f90","0x1404bfde0"
"ROOTZONE_V41_mp_ROOTZONE_V41_GETPERCALL","8.01742","Simulation2015_x64.exe","ROOTZONE_V41_mp_ROOTZONE_V41_GETPERCALL","RootZone_v41.f90","0x1404beb90"
"_intel_avx_rep_memset","7.70711","Simulation2015_x64.exe","_intel_avx_rep_memset","[Unknown]","0x1400c0100"
"ROOTZONE_V41_mp_COMPUTEUPSTRMELEMRUNOFFTOLANDUSE","7.55402","Simulation2015_x64.exe","ROOTZONE_V41_mp_COMPUTEUPSTRMELEMRUNOFFTOLANDUSE","RootZone_v41.f90","0x1404fe260"
"UNSATZONEOPS_mp_DKUNSAT","7.08997","Simulation2015_x64.exe","UNSATZONEOPS_mp_DKUNSAT","UnsatZoneOps.f90","0x140505440"
"CLASS_BASEROOTZONE_mp_TRACKMOISTUREDUETOSOURCE","6.64262","Simulation2015_x64.exe","CLASS_BASEROOTZONE_mp_TRACKMOISTUREDUETOSOURCE","Class_BaseRootZone.f90","0x140505740"
"CLASS_PONDEDAGLANDUSEGW_mp_PONDEDAGLANDUSE_SIMULATE","6.60585","Simulation2015_x64.exe","CLASS_PONDEDAGLANDUSEGW_mp_PONDEDAGLANDUSE_SIMULATE","Class_PondedAgLandUseGW.f90","0x1404fad80"
"RtlFreeHeap","5.72232","ntdll.dll","RtlFreeHeap","[Unknown]","0x180026730"
"memcpy","5.0645","Simulation2015_x64.exe","memcpy","memcpy.asm","0x140942950"
"PACKAGE_MATRIX_mp_CONVERTTOCRSFORMAT","5.03764","Simulation2015_x64.exe","PACKAGE_MATRIX_mp_CONVERTTOCRSFORMAT","Package_Matrix.f90","0x1408ff320"
"for_backspace","4.63524","Simulation2015_x64.exe","for_backspace","[Unknown]","0x140052090"
"CLASS_APPGW_mp_SIMULATE","4.38697","Simulation2015_x64.exe","CLASS_APPGW_mp_SIMULATE","Class_AppGW.f90","0x140904c50"
"WriteFile","3.92906","KERNELBASE.dll","WriteFile","[Unknown]","0x1800429c0"
