"Function / Call Stack","CPU Time","Module","Function (Full)","Source File","Start Address"
"PACKAGE_MATRIX_mp_UPDATECOEFF","904.661","Simulation2015_x64.exe","PACKAGE_MATRIX_mp_UPDATECOEFF","Package_Matrix.f90","0x14043c230"
"ROOTZONE_V40_mp_ROOTZONE_V40_SIMULATE","784.573","Simulation2015_x64.exe","ROOTZONE_V40_mp_ROOTZONE_V40_SIMULATE","RootZone_v40.f90","0x140592210"
"ILUT","752.427","Simulation2015_x64.exe","ILUT","pgmres.f","0x140903ba0"
"CLASS_APPGW_mp_APPLYHORIZONTALFLOWS","695.061","Simulation2015_x64.exe","CLASS_APPGW_mp_APPLYHORIZONTALFLOWS","Class_AppGW.f90","0x1409082a0"
"CLASS_NONPONDEDAGLANDUSE_mp_NONPONDEDAGLANDUSE_SIMULATE","682.384","Simulation2015_x64.exe","CLASS_NONPONDEDAGLANDUSE_mp_NONPONDEDAGLANDUSE_SIMULATE","Class_NonPondedAgLandUse.f90","0x1405964e0"
"_libm_log_l9","552.033","Simulation2015_x64.exe","_libm_log_l9","[Unknown]","0x1400b4620"
"ROOTZONE_V40_mp_ROOTZONE_V40_GETPERCALL","446.554","Simulation2015_x64.exe","ROOTZONE_V40_mp_ROOTZONE_V40_GETPERCALL","RootZone_v40.f90","0x14055e360"
"CLASS_NONPONDEDAGLANDUSE_mp_WRITEROOTZONEFLOWSTOBUDRAWFILE","355.333","Simulation2015_x64.exe","CLASS_NONPONDEDAGLANDUSE_mp_WRITEROOTZONEFLOWSTOBUDRAWFILE","Class_NonPondedAgLandUse.f90","0x140639de0"
"CLASS_GWZBUDGET_mp_PRINTRESULTS","343.475","Simulation2015_x64.exe","CLASS_GWZBUDGET_mp_PRINTRESULTS","Class_GWZBudget.f90","0x1408a7a90"
"CLASS_PONDEDAGLANDUSE_mp_PONDEDAGLANDUSE_SIMULATE","340.731","Simulation2015_x64.exe","CLASS_PONDEDAGLANDUSE_mp_PONDEDAGLANDUSE_SIMULATE","Class_PondedAgLandUse.f90","0x140597a80"
"UNSATZONEOPS_mp_MIXEDITERMETHOD","328.292","Simulation2015_x64.exe","UNSATZONEOPS_mp_MIXEDITERMETHOD","UnsatZoneOps.f90","0x140504b60"
"ROOTZONE_V40_mp_ROOTZONE_V40_GETFLOWSTOSTREAMS","326.114","Simulation2015_x64.exe","ROOTZONE_V40_mp_ROOTZONE_V40_GETFLOWSTOSTREAMS","RootZone_v40.f90","0x14055f640"
"ROOTZONE_V40_mp_COMPUTEUPSTRMELEMRUNOFFTOLANDUSE","319.126","Simulation2015_x64.exe","ROOTZONE_V40_mp_COMPUTEUPSTRMELEMRUNOFFTOLANDUSE","RootZone_v40.f90","0x14059ac80"
"_intel_avx_rep_memset","304.341","Simulation2015_x64.exe","_intel_avx_rep_memset","[Unknown]","0x1400c0100"
"CLASS_NONPONDEDAGLANDUSE_mp_WRITELWUSEFLOWSTOBUDRAWFILE","261.956","Simulation2015_x64.exe","CLASS_NONPONDEDAGLANDUSE_mp_WRITELWUSEFLOWSTOBUDRAWFILE","Class_NonPondedAgLandUse.f90","0x140637780"
"CLASS_APPGW_mp_SIMULATE","254.218","Simulation2015_x64.exe","CLASS_APPGW_mp_SIMULATE","Class_AppGW.f90","0x140904c50"
"PACKAGE_MATRIX_mp_PGMRES","248.268","Simulation2015_x64.exe","PACKAGE_MATRIX_mp_PGMRES","Package_Matrix.f90","0x1408ff870"
"_libm_exp_l9","217.068","Simulation2015_x64.exe","_libm_exp_l9","[Unknown]","0x1400b4ec0"
