"Function / Call Stack","CPU Time","Module","Function (Full)","Source File","Start Address"
"ILUT","260.438","Simulation2015_x64.exe","ILUT","pgmres.f","0x140903ba0"
"_libm_log_l9","204.935","Simulation2015_x64.exe","_libm_log_l9","[Unknown]","0x1400b4620"
"UNSATZONEOPS_mp_MIXEDITERMETHOD","163.362","Simulation2015_x64.exe","UNSATZONEOPS_mp_MIXEDITERMETHOD","UnsatZoneOps.f90","0x140504b60"
"_libm_exp_l9","150.454","Simulation2015_x64.exe","_libm_exp_l9","[Unknown]","0x1400b4ec0"
"PACKAGE_MATRIX_mp_UPDATECOEFF","149.122","Simulation2015_x64.exe","PACKAGE_MATRIX_mp_UPDATECOEFF","Package_Matrix.f90","0x14043c230"
"CLASS_NONPONDEDAGLANDUSEGW_mp_NONPONDEDAGLANDUSE_SIMULATE","120.03","Simulation2015_x64.exe","CLASS_NONPONDEDAGLANDUSEGW_mp_NONPONDEDAGLANDUSE_SIMULATE","Class_NonPondedAgLandUseGW.f90","0x1404f97a0"
"PACKAGE_MATRIX_mp_PGMRES","105.559","Simulation2015_x64.exe","PACKAGE_MATRIX_mp_PGMRES","Package_Matrix.f90","0x1408ff870"
"CLASS_APPGW_mp_APPLYHORIZONTALFLOWS","93.8799","Simulation2015_x64.exe","CLASS_APPGW_mp_APPLYHORIZONTALFLOWS","Class_AppGW.f90","0x1409082a0"
"ROOTZONE_V41_mp_ROOTZONE_V41_SIMULATE","91.8181","Simulation2015_x64.exe","ROOTZONE_V41_mp_ROOTZONE_V41_SIMULATE","RootZone_v41.f90","0x1404f54a0"
"CLASS_PONDEDAGLANDUSEGW_mp_PONDEDAGLANDUSE_SIMULATE","78.8487","Simulation2015_x64.exe","CLASS_PONDEDAGLANDUSEGW_mp_PONDEDAGLANDUSE_SIMULATE","Class_PondedAgLandUseGW.f90","0x1404fad80"
"CLASS_STRMGWCONNECTOR_V42_mp_STRMGWCONNECTOR_V42_GETFLOWATGWNODE","68.3879","Simulation2015_x64.exe","CLASS_STRMGWCONNECTOR_V42_mp_STRMGWCONNECTOR_V42_GETFLOWATGWNODE","Class_StrmGWConnector_v42.f90","0x140440540"
"PACKAGE_APPSMALLWATERSHED_mp_GETNETBCFLOWWITHBCTYPE","59.8963","Simulation2015_x64.exe","PACKAGE_APPSMALLWATERSHED_mp_GETNETBCFLOWWITHBCTYPE","Package_AppSmallWatershed.f90","0x14045dd00"
"UNSATZONEOPS_mp_KUNSAT","58.3802","Simulation2015_x64.exe","UNSATZONEOPS_mp_KUNSAT","UnsatZoneOps.f90","0x140505220"
"ROOTZONE_V41_mp_ROOTZONE_V41_GETPERCALL","47.5673","Simulation2015_x64.exe","ROOTZONE_V41_mp_ROOTZONE_V41_GETPERCALL","RootZone_v41.f90","0x1404beb90"
"ROOTZONE_V41_mp_ROOTZONE_V41_GETFLOWSTOSTREAMS","42.9219","Simulation2015_x64.exe","ROOTZONE_V41_mp_ROOTZONE_V41_GETFLOWSTOSTREAMS","RootZone_v41.f90","0x1404bfde0"
"ROOTZONE_V41_mp_COMPUTEUPSTRMELEMRUNOFFTOLANDUSE","40.8693","Simulation2015_x64.exe","ROOTZONE_V41_mp_COMPUTEUPSTRMELEMRUNOFFTOLANDUSE","RootZone_v41.f90","0x1404fe260"
"RtlFreeHeap","39.6008","ntdll.dll","RtlFreeHeap","[Unknown]","0x180026730"
"CLASS_APPGW_mp_SIMULATE","37.3284","Simulation2015_x64.exe","CLASS_APPGW_mp_SIMULATE","Class_AppGW.f90","0x140904c50"
"_intel_avx_rep_memset","33.5647","Simulation2015_x64.exe","_intel_avx_rep_memset","[Unknown]","0x1400c0100"
"CLASS_GWZBUDGET_mp_PRINTRESULTS","33.0977","Simulation2015_x64.exe","CLASS_GWZBUDGET_mp_PRINTRESULTS","Class_GWZBudget.f90","0x1408a7a90"
"GMRES","29.523","Simulation2015_x64.exe","GMRES","pgmres.f","0x1409018e0"
"PACKAGE_MATRIX_mp_CONVERTTOCRSFORMAT","28.3353","Simulation2015_x64.exe","PACKAGE_MATRIX_mp_CONVERTTOCRSFORMAT","Package_Matrix.f90","0x1408ff320"
"UNSATZONEOPS_mp_DKUNSAT","23.6249","Simulation2015_x64.exe","UNSATZONEOPS_mp_DKUNSAT","UnsatZoneOps.f90","0x140505440"
"for_backspace","21.1866","Simulation2015_x64.exe","for_backspace","[Unknown]","0x140052090"
"CLASS_APPSUBSIDENCE_mp_SIMULATE","20.297","Simulation2015_x64.exe","CLASS_APPSUBSIDENCE_mp_SIMULATE","Class_AppSubsidence.f90","0x14090b970"
"CLASS_BASEROOTZONE_mp_TRACKMOISTUREDUETOSOURCE","17.5885","Simulation2015_x64.exe","CLASS_BASEROOTZONE_mp_TRACKMOISTUREDUETOSOURCE","Class_BaseRootZone.f90","0x140505740"
"memcpy","14.7083","Simulation2015_x64.exe","memcpy","memcpy.asm","0x140942950"
"CLASS_NATIVERIPARIANLANDUSEGW_mp_NATIVERIPARIANLANDUSE_SIMULATE","13.9425","Simulation2015_x64.exe","CLASS_NATIVERIPARIANLANDUSEGW_mp_NATIVERIPARIANLANDUSE_SIMULATE","Class_NativeRiparianLandUseGW.f90","0x140501c60"
"PACKAGE_APPUNSATZONE_mp_SIMULATE","12.8868","Simulation2015_x64.exe","PACKAGE_APPUNSATZONE_mp_SIMULATE","Package_AppUnsatZone.f90","0x140915190"
"PACKAGE_MATRIX_mp_LOCALNODE_TO_GLOBALNODE_SCALAR","12.7728","Simulation2015_x64.exe","PACKAGE_MATRIX_mp_LOCALNODE_TO_GLOBALNODE_SCALAR","Package_Matrix.f90","0x140693c10"
"exp","11.5594","Simulation2015_x64.exe","exp","[Unknown]","0x1400b1020"
"CLASS_URBANLANDUSEGW_mp_URBANLANDUSE_SIMULATE","11.3652","Simulation2015_x64.exe","CLASS_URBANLANDUSEGW_mp_URBANLANDUSE_SIMULATE","Class_UrbanLandUseGW.f90","0x1404ffc60"
"CLASS_APPGW_mp_GETSUPPLY","10.7233","Simulation2015_x64.exe","CLASS_APPGW_mp_GETSUPPLY","Class_AppGW.f90","0x140913200"
"ROOTZONE_V41_mp_ROOTZONE_V41_ADVANCESTATE","10.4543","Simulation2015_x64.exe","ROOTZONE_V41_mp_ROOTZONE_V41_ADVANCESTATE","RootZone_v41.f90","0x1405067d0"
"log","10.3125","Simulation2015_x64.exe","log","[Unknown]","0x1400b1000"
"CLASS_APPGW_mp_APPLYVERTICALFLOWS","9.54912","Simulation2015_x64.exe","CLASS_APPGW_mp_APPLYVERTICALFLOWS","Class_AppGW.f90","0x14090c050"
"RAINFALLRUNOFF_mp_SCSMETHOD_HELP","9.12042","Simulation2015_x64.exe","RAINFALLRUNOFF_mp_SCSMETHOD_HELP","RainfallRunoff.f90","0x140505690"
"func@0x1800288e0","9.11009","ntdll.dll","func@0x1800288e0","[Unknown]","0x1800288e0"
"CLASS_APPGW_mp_APPLYCHANGEINSTORAGE","8.09879","Simulation2015_x64.exe","CLASS_APPGW_mp_APPLYCHANGEINSTORAGE","Class_AppGW.f90","0x140909070"
"DISTDOT","7.81301","Simulation2015_x64.exe","DISTDOT","pgmres.f","0x1403e1ca0"
"CLASS_PUMPING_mp_DISTRIBUTEPUMPTONODES","6.78632","Simulation2015_x64.exe","CLASS_PUMPING_mp_DISTRIBUTEPUMPTONODES","Class_Pumping.f90","0x140699550"
"CLASS_APPGW_mp_GETPUMPACTUAL","6.54968","Simulation2015_x64.exe","CLASS_APPGW_mp_GETPUMPACTUAL","Class_AppGW.f90","0x1408fc5b0"
"_intel_avx_rep_memcpy","6.44456","Simulation2015_x64.exe","_intel_avx_rep_memcpy","[Unknown]","0x1400bc300"
"_libm_exp_e7","5.68348","Simulation2015_x64.exe","_libm_exp_e7","[Unknown]","0x1400b4bb0"
"WriteFile","5.36575","KERNELBASE.dll","WriteFile","[Unknown]","0x1800429c0"
"CLASS_APPGRID_mp_ELEMDATA_TO_NODEDATA","4.83243","Simulation2015_x64.exe","CLASS_APPGRID_mp_ELEMDATA_TO_NODEDATA","Class_AppGrid.f90","0x140907200"
"cvtas_t_to_a","4.76011","Simulation2015_x64.exe","cvtas_t_to_a","[Unknown]","0x1400a1b80"
"_chkstk","4.71365","Simulation2015_x64.exe","_chkstk","chkstk.asm","0x1409428f0"
"CLASS_NONPONDEDAGLANDUSEGW_mp_NONPONDEDAGLANDUSE_COMPUTEWATERDEMAND","4.59131","Simulation2015_x64.exe","CLASS_NONPONDEDAGLANDUSEGW_mp_NONPONDEDAGLANDUSE_COMPUTEWATERDEMAND","Class_NonPondedAgLandUseGW.f90","0x1404ecbc0"
"PACKAGE_MODEL_mp_CONVERGENCE","4.49584","Simulation2015_x64.exe","PACKAGE_MODEL_mp_CONVERGENCE","Package_Model.f90","0x1408f7c30"
"RtlRestoreLastWin32Error","4.04538","ntdll.dll","RtlRestoreLastWin32Error","[Unknown]","0x180041690"
"CLASS_APPGW_mp_GETPUMPINGATELEMENTLAYERNODE","3.94167","Simulation2015_x64.exe","CLASS_APPGW_mp_GETPUMPINGATELEMENTLAYERNODE","Class_AppGW.f90","0x1408b14d0"
"ROOTZONE_V41_mp_ROOTZONE_V41_GETELEMENTWATERDEMAND_AG","3.5676","Simulation2015_x64.exe","ROOTZONE_V41_mp_ROOTZONE_V41_GETELEMENTWATERDEMAND_AG","RootZone_v41.f90","0x1404b8730"
"CLASS_GWZBUDGET_mp_COMPUTEFACEFLOWATNODE","3.54261","Simulation2015_x64.exe","CLASS_GWZBUDGET_mp_COMPUTEFACEFLOWATNODE","Class_GWZBudget.f90","0x1408b4d60"
"ROOTZONE_V41_mp_REGIONALREUSE","3.21853","Simulation2015_x64.exe","ROOTZONE_V41_mp_REGIONALREUSE","RootZone_v41.f90","0x1406eda70"
"ROOTZONE_V41_mp_REGIONALMOISTSTORAGE","3.20687","Simulation2015_x64.exe","ROOTZONE_V41_mp_REGIONALMOISTSTORAGE","RootZone_v41.f90","0x1404e4d30"
"getptd_noexit","3.03764","Simulation2015_x64.exe","getptd_noexit","tidtable.c","0x14094830c"
"ROOTZONE_V41_mp_REGIONALINFILTRATION","3.00731","Simulation2015_x64.exe","ROOTZONE_V41_mp_REGIONALINFILTRATION","RootZone_v41.f90","0x1406f3570"
"VERTICALFLOW_mp_VERTICALFLOW_COMPUTEATNODESLAYER","2.92395","Simulation2015_x64.exe","VERTICALFLOW_mp_VERTICALFLOW_COMPUTEATNODESLAYER","VerticalFlow.f90","0x1408ba8d0"
"CLASS_PUMPING_mp_UPDATEPUMPACTUALANDNODEFACTORS","2.91263","Simulation2015_x64.exe","CLASS_PUMPING_mp_UPDATEPUMPACTUALANDNODEFACTORS","Class_Pumping.f90","0x14069ad10"
"PROCESSFLOWTYPES_ip_ADDFLOWTYPETOELEMENTS_BYELEMENT","2.88028","Simulation2015_x64.exe","PROCESSFLOWTYPES_ip_ADDFLOWTYPETOELEMENTS_BYELEMENT","Class_GWZBudget.f90","0x14035c580"
"ROOTZONE_V41_mp_REGIONALDEMAND","2.86088","Simulation2015_x64.exe","ROOTZONE_V41_mp_REGIONALDEMAND","RootZone_v41.f90","0x1404f4600"
"PACKAGE_MATRIX_mp_UPDATERHS_RANDOM","2.85903","Simulation2015_x64.exe","PACKAGE_MATRIX_mp_UPDATERHS_RANDOM","Package_Matrix.f90","0x14090dee0"
"ROOTZONE_V41_mp_REGIONALPERC","2.7814","Simulation2015_x64.exe","ROOTZONE_V41_mp_REGIONALPERC","RootZone_v41.f90","0x1406f07d0"
"cvt_ieee_t_to_text_ex","2.76168","Simulation2015_x64.exe","cvt_ieee_t_to_text_ex","[Unknown]","0x1400934c0"
"for__interp_fmt","2.61276","Simulation2015_x64.exe","for__interp_fmt","[Unknown]","0x140085730"
"for__acquire_semaphore_threaded","2.54142","Simulation2015_x64.exe","for__acquire_semaphore_threaded","[Unknown]","0x140065780"
"ROOTZONE_V41_mp_REGIONALPRECIP","2.33846","Simulation2015_x64.exe","ROOTZONE_V41_mp_REGIONALPRECIP","RootZone_v41.f90","0x1406f6e10"
"FlsGetValue","2.32165","KERNELBASE.dll","FlsGetValue","[Unknown]","0x180057f80"
"ROOTZONE_V41_mp_ZEROREDISTRIBUTEDMOIST","2.31449","Simulation2015_x64.exe","ROOTZONE_V41_mp_ZEROREDISTRIBUTEDMOIST","RootZone_v41.f90","0x1404d8080"
"CLASS_APPSTREAM_V42_mp_APPSTREAM_V42_SIMULATE","2.23093","Simulation2015_x64.exe","CLASS_APPSTREAM_V42_mp_APPSTREAM_V42_SIMULATE","Class_AppStream_v42.f90","0x14073c330"
"PROCESSFLOWTYPES_ip_ADDFLOWTYPETOELEMENTS_BYNODE","2.15447","Simulation2015_x64.exe","PROCESSFLOWTYPES_ip_ADDFLOWTYPETOELEMENTS_BYNODE","Class_GWZBudget.f90","0x14035c3e0"
